assoc,1,4
assoc,2,10
assoc,3,13
assoc,4,16
assoc,5,14
assoc,6,17
assoc,7,18
assoc,8,48
assoc,9,19
assoc,10,16
assoc,11,47
assoc,12,15
assoc,13,15
assoc,14,49
assoc,15,19
assoc,16,17
assoc,17,48
assoc,18,19
assoc,19,50
assoc,20,20
assoc,21,56
assoc,22,33
assoc,23,55
assoc,24,52
assoc,25,22
assoc,26,60
assoc,27,27
assoc,28,53
assoc,29,53
assoc,30,56
assoc,31,26
assoc,32,57
assoc,33,57
assoc,34,60
assoc,35,57
assoc,36,57
assoc,37,29
assoc,38,59
assoc,39,60
assoc,40,67
assoc,41,75
assoc,42,74
assoc,43,74
assoc,44,78
assoc,45,73
assoc,46,96
assoc,47,63
assoc,48,66
assoc,49,64
assoc,50,65
assoc,51,66
assoc,52,95
assoc,53,66
assoc,54,76
assoc,55,98
assoc,56,69
assoc,57,71
assoc,58,99
assoc,59,72
assoc,60,108
wt-tree,1,20
wt-tree,2,58
wt-tree,3,61
wt-tree,4,69
wt-tree,5,107
wt-tree,6,84
wt-tree,7,126
wt-tree,8,102
wt-tree,9,138
wt-tree,10,150
wt-tree,11,158
wt-tree,12,165
wt-tree,13,185
wt-tree,14,191
wt-tree,15,223
wt-tree,16,246
wt-tree,17,216
wt-tree,18,253
wt-tree,19,278
wt-tree,20,286
wt-tree,21,326
wt-tree,22,316
wt-tree,23,356
wt-tree,24,357
wt-tree,25,379
wt-tree,26,396
wt-tree,27,408
wt-tree,28,444
wt-tree,29,449
wt-tree,30,522
wt-tree,31,499
wt-tree,32,490
wt-tree,33,493
wt-tree,34,528
wt-tree,35,643
wt-tree,36,576
wt-tree,37,584
wt-tree,38,591
wt-tree,39,645
wt-tree,40,627
wt-tree,41,663
wt-tree,42,701
wt-tree,43,743
wt-tree,44,718
wt-tree,45,769
wt-tree,46,733
wt-tree,47,822
wt-tree,48,812
wt-tree,49,832
wt-tree,50,835
wt-tree,51,874
wt-tree,52,927
wt-tree,53,906
wt-tree,54,923
wt-tree,55,984
wt-tree,56,940
wt-tree,57,980
wt-tree,58,1014
wt-tree,59,1081
wt-tree,60,1039
hamt,1,8
hamt,2,45
hamt,3,88
hamt,4,93
hamt,5,104
hamt,6,157
hamt,7,174
hamt,8,208
hamt,9,257
hamt,10,260
hamt,11,306
hamt,12,343
hamt,13,345
hamt,14,398
hamt,15,433
hamt,16,449
hamt,17,532
hamt,18,521
hamt,19,574
hamt,20,617
hamt,21,620
hamt,22,698
hamt,23,694
hamt,24,698
hamt,25,760
hamt,26,843
hamt,27,851
hamt,28,912
hamt,29,941
hamt,30,925
hamt,31,985
hamt,32,1046
hamt,33,1074
hamt,34,1109
hamt,35,1126
hamt,36,1193
hamt,37,1179
hamt,38,1295
hamt,39,1258
hamt,40,1337
hamt,41,1364
hamt,42,1397
hamt,43,1444
hamt,44,1452
hamt,45,1480
hamt,46,1541
hamt,47,1565
hamt,48,1583
hamt,49,1633
hamt,50,1667
hamt,51,1737
hamt,52,1746
hamt,53,1859
hamt,54,1813
hamt,55,1846
hamt,56,1937
hamt,57,1914
hamt,58,1988
hamt,59,2018
hamt,60,2034
